task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
100	08/a4cfb1	23104	minimap_pipeline:minimap (S19_SQK-NBD114-24_barcode06)	COMPLETED	0	2024-12-22 18:59:41.454	2m 8s	2m 8s	197.6%	5.5 GB	10.2 GB	5.4 GB	3.6 GB
102	85/def0e7	29462	minimap_pipeline:minimap (oy51_SQK-NBD114-24_barcode10)	COMPLETED	0	2024-12-22 19:00:12.610	2m 6s	2m 6s	196.5%	5.8 GB	10.4 GB	5.8 GB	4.1 GB
105	cf/d880a3	38751	minimap_pipeline:minimap (oy24_SQK-NBD114-24_barcode13)	COMPLETED	0	2024-12-22 19:00:53.103	1m 36s	1m 36s	201.2%	5.3 GB	10.2 GB	4.8 GB	3.1 GB
107	bc/bb703b	44421	minimap_pipeline:minimap (oy26_SQK-NBD114-24_barcode15)	COMPLETED	0	2024-12-22 19:01:20.980	1m 13s	1m 12s	207.2%	4.6 GB	9.8 GB	3.7 GB	2.1 GB
106	c3/0a12a2	40566	minimap_pipeline:minimap (oy59_SQK-NBD114-24_barcode17)	COMPLETED	0	2024-12-22 19:01:00.464	1m 58s	1m 57s	196.0%	5.2 GB	10.2 GB	4.9 GB	3.2 GB
108	f6/f6f6b6	49144	minimap_pipeline:minimap (oy25_SQK-NBD114-24_barcode14)	COMPLETED	0	2024-12-22 19:01:49.756	1m 34s	1m 33s	207.9%	5 GB	10.1 GB	4.4 GB	2.7 GB
111	f2/b54871	56837	minimap_pipeline:minimap (oy44_SQK-NBD114-24_barcode04)	COMPLETED	0	2024-12-22 19:02:33.530	1m 9s	1m 8s	198.2%	4.6 GB	9.7 GB	3.3 GB	1.7 GB
112	87/e4f7e5	61674	minimap_pipeline:minimap (oy32_SQK-NBD114-24_barcode18)	COMPLETED	0	2024-12-22 19:02:58.435	1m 17s	1m 16s	202.0%	4.6 GB	9.8 GB	3.8 GB	2.2 GB
109	11/4b71c5	53323	minimap_pipeline:minimap (sd2_SQK-NBD114-24_barcode17)	COMPLETED	0	2024-12-22 19:02:18.889	2m 28s	2m 28s	192.7%	6 GB	10.4 GB	6.7 GB	4.8 GB
113	50/70b420	65821	minimap_pipeline:minimap (oy33_SQK-NBD114-24_barcode19)	COMPLETED	0	2024-12-22 19:03:23.414	2m 3s	2m 3s	201.9%	5 GB	9.6 GB	5.8 GB	4.1 GB
